Name,Easting,Northing,Date,Na23 (ug/L),Mg24 (2+) (ug/L),K39 (ug/L),Ca40 (2+) (ug/L),F- (umoles/L),Cl- (umoles/L),NO2- (umoles/L),Br- (umoles/L),NO3- (umoles/L),PO4 (umoles/L),SO4 (umoles/L),Ca+Mg mg/L,original alk w/Ca+Mg fill (mg/L)
Riggs,380938,4046988,11/10/2018,2372.500075,20621.39888,477.3927875,46905.4413,6.775678786,68.79238173,BDL,BDL,13.56171439,3.400633141,87.60172048,67.527,148
Riggs,380938,4046988,12/15/2018,2340.520145,20650.78014,451.0694084,46805.40709,7.032737378,71.48851174,BDL,BDL,11.53705017,2.979239066,91.57426875,67.456,200
Robbers Roost,402199,4015554,8/6/2018,1636.202704,21314.01537,2634.133036,43427.29947,3.877562319,47.48797726,0,0,28.0263729,3.036909096,59.80735982,64.741,212.8817584
Robbers Roost,402199,4015554,9/2/2018,1298.360313,22281.87625,2168.073624,49250.12419,4.239396092,33.58834576,0,0,11.89336062,2.979051442,43.70831752,71.532,241
Robbers Roost,402199,4015554,10/14/2018,1143.212265,22696.04769,2177.572083,49673.55591,4.354110041,25.55808797,1.413196449,0,7.095785862,2.802630374,24.9667478,72.37,200
Robbers Roost,402199,4015554,11/9/2018,859.66029,23701.41028,514.2835093,57919.42098,7.312341562,31.84991368,BDL,BDL,2.843814343,3.465473574,46.66499866,81.621,240
Robbers Roost,402199,4015554,11/11/2018,916.5335556,23580.69795,583.3904554,58436.29196,6.857925304,32.01309774,BDL,BDL,11.84813756,4.136337979,50.20123132,82.017,236
Robbers Roost,402199,4015554,12/15/2018,922.3981404,22836.56917,573.7779578,55002.42077,6.931027388,30.6808285,BDL,BDL,10.11313917,4.477074058,36.59633547,77.839,220
South Canyon,406894,4021964,11/10/2017,2531.030521,21482.602,2778.785,44440.551,3.499,46.336,0,0,0.425,3.693,17.035,65.923,215.0986509
South Canyon,406894,4021964,8/6/2018,1992.2735,27104.42016,2174.693291,47990.57414,6.027061793,44.40299869,0,0,15.83926264,3.478093325,25.07131073,75.095,216
Stina,382725,4028104,5/26/2018,1548.732742,26637.793,459.591,63166.751,4.983,42.958,0,0,0,2.838,28.441,89.805,270
Stina,382725,4028104,7/13/2018,1177.769787,30193.361,498.915,70607.065,4.123,38.231,0,0,0,1.658,29.062,100.8,302
Stina,382725,4028104,8/5/2018,1721.741171,30464.38718,1819.503425,73535.88474,4.958689239,32.78464867,0,0,13.20471641,4.541245024,27.30433403,104,286.5237101
Stina,382725,4028104,9/1/2018,2209.781168,31220.86647,2406.789871,69043.13292,5.013914537,60.96604639,10.08599056,0,100.6514671,5.570810295,40.04761478,100.264,312
Stina,382725,4028104,10/13/2018,1655.555382,30502.88425,1955.744608,62564.1811,4.894239234,31.81252766,1.347060881,0,11.20525977,4.328592527,26.27267104,93.067,266
Stina,382725,4028104,11/10/2018,1474.433162,29795.78799,503.4434495,92001.79356,6.929959566,35.56535684,BDL,3.012315363,9.674417349,5.740134728,28.67391272,121.798,266
Timp,383776,4027748,5/24/2018,1340.754975,30581.405,327.302,58304.548,4.356,33.992,0,0,0,4.869,26.38,88.886,290
Timp,383776,4027748,6/26/2018,1277.830723,30549.43,390.337,58234.225,4.939,38.707,0,0,0,0,29.097,88.784,326
Timp,383776,4027748,7/13/2018,1203.672618,34778.781,201.189,59476.748,4.038,37.746,0,0,0,0,30.469,94.256,276
Timp,383776,4027748,8/5/2018,1835.483897,36930.90071,1991.699379,61777.91481,5.049671183,34.08777516,0,0,20.38229955,4.483862824,27.8301732,98.709,276.5979962
Timp,383776,4027748,9/1/2018,1879.523255,36243.1949,1872.772848,59819.41946,4.992990396,33.11323719,2.755649941,0,19.43245699,4.223004847,27.71403715,96.063,313
Timp,383776,4027748,10/13/2018,1770.296275,35683.75812,1986.033668,60350.01578,5.094846865,32.64133891,1.480766291,0,17.54165156,4.269248503,27.51565236,96.034,288
Timp,383776,4027748,11/10/2018,1575.009306,33389.68733,481.1398636,59267.43362,7.073746574,36.51922497,4.400470026,3.574343364,14.55762523,5.715503901,29.20846712,92.657,316
Upper Thompson,405211,4013335,6/26/2018,1840.021218,22343.483,1505.472,54402.39,4.095,56.201,0,0,0,0,27.408,76.746,218
Upper Thompson,405211,4013335,7/12/2018,1688.780728,25063.722,1186.19,53852.14,3.956,128.777,0,0,0,0,29.103,78.916,240
Upper Thompson,405211,4013335,8/6/2018,2044.197767,26129.81297,2984.946613,50528.43885,4.935754381,41.04277611,0,0,7.005505808,4.31838181,28.29055203,76.658,235.2355488
Upper Thompson,405211,4013335,9/2/2018,2107.665857,26292.71002,2264.612096,47817.02367,4.759985246,40.69730191,5.776559369,0,9.840648017,4.158130788,26.835561,74.11,236
Upper Thompson,405211,4013335,10/12/2018,2211.489237,25540.347,2322.251241,51934.83359,4.830261173,46.70322253,0,0,9.000116615,3.95207002,26.74663018,77.475,236
Upper Thompson,405211,4013335,11/11/2018,1683.912871,23268.87859,395.7160261,51044.66646,6.304366682,45.38253189,BDL,BDL,8.273072908,5.327459849,29.3538066,74.314,110
Upper Thompson,405211,4013335,12/15/2018,1805.05745,22769.83958,457.7052309,50374.96558,6.081497791,47.35048164,BDL,BDL,BDL,4.495800432,28.50420203,73.145,228
Warm,385566,4026786,12/17/2018,5788.749937,33521.60064,951.2370801,63446.51368,34.93598379,261.6418117,BDL,BDL,47.13741478,BDL,1413.585419,96.968,156
Watts,385566,4026786,5/24/2018,1457.068132,24151.523,298.305,69500.499,3.744,30.847,0,0,0,0,30.589,93.652,280
Watts,385566,4026786,6/26/2018,1377.298039,24997.51,312.843,72232.804,4.47,34.047,0,0,0,0,26.755,97.23,330
